INFO 2025-07-06 18:37:25,801 autoreload 4936 3052 Watching for file changes with StatReloader
INFO 2025-07-06 18:38:47,296 basehttp 4936 2292 "GET /api/students/?class_admitted=Class%201&gender=boys HTTP/1.1" 200 921
INFO 2025-07-06 18:38:47,390 basehttp 4936 2292 "GET /api/subjects/?class_fk=1 HTTP/1.1" 200 465
INFO 2025-07-06 18:38:47,462 basehttp 4936 2292 "GET /api/monthly-tests/?class_fk=1&month=2025-07-01 HTTP/1.1" 200 3551
INFO 2025-07-06 18:38:47,495 basehttp 4936 2292 "GET /api/change-requests/pending/ HTTP/1.1" 200 252
INFO 2025-07-06 18:38:47,898 basehttp 4936 2896 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:48,361 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:48,829 basehttp 4936 2896 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:49,393 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:49,878 basehttp 4936 2896 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:50,367 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:50,830 basehttp 4936 2896 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:51,297 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:51,798 basehttp 4936 2292 "GET /api/monthly-tests/?class_fk=1&month=2025-07-01 HTTP/1.1" 200 3551
INFO 2025-07-06 18:38:51,816 basehttp 4936 2292 "GET /api/change-requests/pending/ HTTP/1.1" 200 252
INFO 2025-07-06 18:38:51,849 basehttp 4936 2896 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:51,900 basehttp 4936 2292 "GET /api/change-requests/pending/ HTTP/1.1" 200 252
INFO 2025-07-06 18:38:52,426 basehttp 4936 9480 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
INFO 2025-07-06 18:38:52,992 basehttp 4936 2292 "GET /api/change-requests/approved/ HTTP/1.1" 200 34669
